egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-C1-011,"Guideword: FORM: 'NONE', SUBSTITUTION. CanDo: Can use pronouns 'none' to substitute for subject and object pronouns. ►  pronouns: substitution",SuperCategory: PRONOUNS. SubCategory: quantity,C1,代词none的替代用法：替代主语和宾语,"As for disadvantages, in fact, I see none.、As for social life organized by the school, there was none .、The costs saved without external consultants would be higher than the costs for this course . Opportunity costs: None.、I started learning the language when I was seven. Problems when using English? None.",none of、there is none、see none、have none,,,"代词none,替代用法,主语替代,宾语替代,否定含义",
GG-C1-012,"Guideword: USE: FORMAL. CanDo: Can use 'few', 'many', 'most', 'others' to refer to people in formal written contexts, often reports or surveys.",SuperCategory: PRONOUNS. SubCategory: quantity,C1,"正式书面语中表示人群数量的代词：few, many, most, others","Few people stop to think about what they are really doing, and few are motivated to work at all.、Few denied that it was one of the most thrilling and fascinating activities we tried the whole week.、Many express their satisfaction and claim to have acquired a great number of new skills.、Many say that extreme sports attract only those who are addicted to adrenaline or those who have nothing to lose.、Some of the students have a few comments. Most were concerned with the planning of the timetable and I hope there may be some changes this year.",few people、many say、most of the、others were,,,"数量代词,正式书面语,人群指代,few,many,most,others,报告语境",
GG-C1-013,"Guideword: FORM: RELATIVE PRONOUNS. CanDo: Can use 'some of', 'many of' to modify relative pronouns in a relative clause.",SuperCategory: PRONOUNS. SubCategory: quantity,C1,关系代词修饰：some of/many of + which/whom,"The people of his time were amazed every time they saw his new inventions, some of which were enormous.、By and large, how we eat is influenced by several factors, some of which have nothing to do with your nationality.、I am aware that you have a different view on young people's preferences, but I hope this event could give you an opportunity to see some other aspects of young people, some of whom are very active in sports in our club.、Today we continue this tradition by organising lectures and exhibitions, generally open to the public, many of which deal with Hamburg-specific issues.",some of、many of,,,"关系代词,some of,many of,which,whom",
GG-C1-014,"Guideword: FORM: MODIFIED. CanDo: Can modify 'few' and 'many' with 'very', 'too', 'so' as intensifiers.",SuperCategory: PRONOUNS. SubCategory: quantity,C1,数量代词强化：用very、too、so修饰few和many,"It was on Thursday that I realized how many children were in the centre. There were too many and the day was extremely tiring.、Almost 5000 Greeks died that night, and very few managed to survive.、In recent years, the Internet, which used to be a luxury only used by the very few who had access to it, has become a means of exchanging information.、Sure, some of the motorists changed to bicycles or to public transport - but far too few.",very few、too many、so many,,,"数量代词,强化词,few,many,very too so",
GG-C1-015,Guideword: FORM: 'NONE'. CanDo: Can use 'none' as a pronoun. ►  determiners: quantity  ►  pronouns: quantity,"SuperCategory: PRONOUNS. SubCategory: substitution, one, ones, none",C1,代词none的用法：表示“没有”或“全无”,"Then I searched for a Coca-Cola, but I found none.、Although I was really disappointed, I managed to keep the presence of mind and think more carefully and calmly. The result? None!、We expected a social programme but there was none.、The odd thing about snowboarding in Russia ... is that there are very few mountains. In fact, there are none.、The costs saved without external consultants would be higher than the costs for this course. Opportunity costs: None.",none of、find none、there is none、expect none,,,"none,代词,否定,数量,none of",
GG-C1-016,"Guideword: FORM/USE: 'ANYTHING', ELLIPSIS. CanDo: Can use 'anything' in an ellipted clause, ('if there is anything …').","SuperCategory: PRONOUNS. SubCategory: indefinite - thing, -one, -body etc",C1,不定代词anything在省略从句中的用法,"Anything else you need, ask Sarah.、Anything you need in connection with my report, please don't hesitate to contact me.、Anything you want to ask me, feel free to do so.",anything else、anything you need、anything in connection with,,,"不定代词,省略从句,条件句,anything else,非正式语境",
GG-C1-017,"Guideword: FORM/USE: 'ANYTHING', FOCUS. CanDo: Can use 'anything' with post-modifiers to form complex noun phrases as subjects with a singular verb, to give focus.","SuperCategory: PRONOUNS. SubCategory: indefinite - thing, -one, -body etc",C1,不定代词anything的后置修饰：复杂名词短语作主语,Anything else can be attached too if needed.、Anything to show how happy you are for them will do.、Anything that puts you in contact with the English language is important.,anything else、anything to、anything that,,,"不定代词,后置修饰,复杂名词短语,单数动词,焦点强调",
GG-C1-018,"Guideword: FORM: 'EACH …' + 'THE OTHER(S)', AS COMPLEMENT. CanDo: Can use 'each' (+ noun or pronoun) as subject followed by 'the other(s)' a complement of a preposition, to refer to two related things. ► pronouns: quantity",SuperCategory: PRONOUNS. SubCategory: reciprocal,C1,相互代词结构：'each ... the other(s)' 作介词补语,"Each person could be a help to the other.、They all seem to mean exactly the same but if you study them more carefully, you realize that each of them differs from the others in tiny details that can be relevant.、Generally speaking, each individual is different from the others.",each、the other、the others、differs from、contributes to,,,"相互代词,each,the other,the others,介词补语,相互关系,主谓一致",
GG-C1-019,Guideword: USE: RHETORICAL QUESTIONS. CanDo: Can use question forms to ask rhetorical questions.,SuperCategory: PRESENT. SubCategory: present continuous,C1,现在进行时修辞疑问句：表达观点与强调,[writing about fashion] Are we becoming shallow?、Why is technology taking over our lives?、Why am I explaining all this? The only reason is that I want to show that young people are interested in sports.,why、how、what、are,,,"修辞疑问句,现在进行时,表达观点,强调现象,疑问词",
GG-C1-020,"Guideword: FORM/USE: NEGATIVE QUESTIONS, PERSUASION. CanDo: Can use the negative question form as a persuasion strategy.",SuperCategory: PRESENT. SubCategory: present simple,C1,否定疑问句用于劝说：Don't you...? 的劝说策略,"Don't you just hate taking the bus to school every morning? well I have a perfect solution for you, a great bike with good brakes, a bell and lights. it is a great bike but since I never use it I would be happy to sell it to you.、Don't you find that when you are having a shower or bath, you occasionally run out of water?",don't you、isn't it、don't you find,,,"否定疑问句,劝说策略,共同感受,现在时,句型结构",
GG-C1-021,"Guideword: USE: REPORTING VERBS. CanDo: Can use the present simple with a wide range of reporting verbs, especially in academic contexts, including 'demonstrate', 'illustrate'.",SuperCategory: PRESENT. SubCategory: present simple,C1,一般现在时与报告动词搭配：学术语境中的demonstrate、illustrate等,"The popularity of this TV game in Russia clearly demonstrates the nature of human fears and dreams.、The 2 charts illustrate the number of employees, and the trends in profit for three factories, namely the factories located in London, Leeds, and Bristol, which belong to the same company, during the year 2003.",demonstrate、illustrate、show、indicate,,,"报告动词,一般现在时,学术语境,客观陈述,第三人称单数",
GG-C1-022,"Guideword: FORM/USE: NEGATIVE QUESTIONS, OPINION. CanDo: Can use the negative question form to check opinions.",SuperCategory: PRESENT. SubCategory: present simple,C1,现在时否定疑问句：用于确认观点,Doesn’t it sound fascinating?、Don't we all like presents?、Don't you think that fashion always looks funny if it is not the fashion of today?,don't you think、doesn't it sound、don't we all,,,"否定疑问句,现在时,确认观点,助动词否定形式,don't you think",
GG-C1-023,"Guideword: FORM/USE: FORMAL. CanDo: Can use less frequent complex prepositions, often in a more formal, literary or business context.",SuperCategory: PREPOSITIONS. SubCategory: prepostions,C1,复杂介词：正式语境中的低频复合介词,"It's unbelievable that this civilization that lived a long time ago could be so ahead of their time.、I think that the next area to develop will be the car industry, which will develop cars that are going to work by solar energy, on account of the levels of pollution in big cities.",on account of、in spite of、with a view to、by means of,,,"复杂介词,正式语境,低频,固定搭配,逻辑关系",
GG-C1-024,"Guideword: FORM/USE: INVERSION, IMAGINED PAST. CanDo: Can invert the subject and affirmative auxiliary verb to talk about imagined situations in the past, often with regret, in formal contexts.",SuperCategory: PAST. SubCategory: past perfect simple,C1,过去完成时倒装：表达对过去想象的假设与遗憾,"Had I known the tour would be so bad, I wouldn't have booked it.、Had they been new people, travellers from other countries, I could have taken it, but all the customers were English!、Sometimes I think that had I gone to Britain without this experience, my life would have been different.",had i、had they、had she、had we,,,"过去完成时倒装,虚拟语气,正式语境,假设条件,遗憾表达",
GG-C1-025,"Guideword: FORM: INVERSION WITH 'NOT ONLY … BUT ALSO'. CanDo: Can use the inverted form of the past simple with auxiliary 'do', in the phrase 'not only … but also'.",SuperCategory: PAST. SubCategory: past simple,C1,过去时倒装结构：not only … but also,"The companies I found at the trade fair were very varied. Not only did I find high-technology companies, but also shoemakers, advertisement companies and plane manufacturers to name but a few.、Not only didn't we travel 5000 miles in 30 days, as you had advertised, but also we stayed 8 days in just one place, which had nothing interesting to see except a church.、Not only didn't I learn any new grammar but also I couldn't enrich my vocabulary.",not only、but also、did、didn't,,,"倒装,not only,but also,过去时,助动词",
GG-C1-026,"Guideword: USE: FOR EMPHASIS, WITH 'DID'. CanDo: Can use the past simple with 'did' for emphasis.",SuperCategory: PAST. SubCategory: past simple,C1,过去简单时强调用法：用'did'加强语气,"We did reach the target figure and we have sent about 85 percent of the money to the hospital.、[in a letter defending the organisation of an event] We did have 34 games and one stall with beverages and snacks.、It is true that it did rain during the day but it was not a ""sudden downpour"",  as you wrote. It was more a small shower …",did reach、did have、did rain、did finish,,,"过去简单时,强调语气,did强调,动词原形,事实澄清",
GG-C1-027,"Guideword: FORM: QUESTIONS. CanDo: Can use 'yes/no', 'wh-', tag and negative question forms with a wide range of verbs.  ► Questions",SuperCategory: PAST. SubCategory: past simple,C1,过去时疑问句：一般过去时的疑问形式,"Did you spot the fact that what is expected from us in Tall Trees Campsite is to help in organising the entertainment?、How did it turn out then?、I told you about Peter and Mary, didn't I?、Didn't we all dream of being famous once in our lives?",did、didn't、how did、did you,,,"一般过去时,疑问句,did,动词原形,反意疑问句",
GG-C1-028,Guideword: USE: COMPLEX ORDERING OF PAST EVENTS. CanDo: Can use the past simple to order sequences of events in the past in a complex way.,SuperCategory: PAST. SubCategory: past simple,C1,过去简单时：复杂事件排序,"Following advice from a friend, I purchased the English version of your product, only to find out its quality did not match the promises made in your advertisement.、After having discussed this subject with the other member, we came up with the following decisions. First of all …",after、before、first of all、then,,,"过去简单时,事件排序,时间状语,连词,叙述连贯性",
GG-C1-029,Guideword: USE: POLITENESS: 'I THOUGHT'. CanDo: Can use the past simple 'I thought' as a politeness structure to sound less direct.,SuperCategory: PAST. SubCategory: past simple,C1,礼貌表达：过去式'I thought'的委婉用法,I understand you are quite concerned about the matter and I thought it would be a good idea to let you know what is really going on.、The reason why I'm writing to you is that I thought you might be interested in writing about a special dish from your country for the international cookbook.,i thought、thought it would、thought you might,,,"礼貌表达,委婉语气,过去式,I thought,句型结构",
GG-C1-030,"Guideword: FORM: NEGATIVE. CanDo: Can use the full negative forms with a wide range of verbs, often in formal contexts.",SuperCategory: PAST. SubCategory: present perfect simple,C1,现在完成时否定式：正式语境中的全面否定表达,"Thus, you have not fulfilled your task with due care, as you have stated in your letter.、Somehow, in my country education has not evolved, although it manages to maintain some advantages.",have not、has not、not yet、never been,,,"现在完成时,否定式,正式语境,过去分词,时间状语",
GG-C1-031,Guideword: FORM/USE: NON-FINITE CLAUSES. CanDo: Can use a passive non-finite '-ing' form as a subordinate clause or a noun clause to give explanatory background information.,SuperCategory: PASSIVES. SubCategory: passives: form,C1,被动非谓语-ing形式：作解释性背景信息的从句或名词从句,"Being born and raised in Mexico, I believe her to be this country's best representative to the world.、Being overworked and badly paid, Polish women are torn between their dreams and their real possibilities.、Being invited by your boss for an unexpected lunch makes you feel noticed.",being born、being overworked、being invited、being paid,,,"被动非谓语,-ing形式,从属从句,名词从句,背景信息",
GG-C1-032,Guideword: FORM/USE: PRESENT CONTINUOUS NEGATIVE. CanDo: Can use the present continuous passive negative form to refer to ongoing situations in the present.,SuperCategory: PASSIVES. SubCategory: passives: form,C1,现在进行时被动语态否定式：表示当前未持续进行的被动动作,"In my opinion, the store is not being promoted enough.、Women are not being seen as just inferior to men and incapable of working outside the home.、Finally, I agree with the fact that mobile phones have helped the human species develop, but as long as they 're not being used in a sensible way, they're a destructive weapon against children's health.",not being promoted、not being seen、not being used,,,"现在进行时被动语态,否定式,未持续进行,被动动作,当前情况",
GG-C1-033,"Guideword: FORM/USE: SUMMARISING, EVALUATING WITH 'IT'.. CanDo: Can use the passive with 'it' as a dummy subject, to summarise or evaluate in discussions, usually in formal or academic writing.",SuperCategory: PASSIVES. SubCategory: passives: form,C1,被动语态：形式化总结与评价的'it'作形式主语用法,"To sum up, it can be concluded that this report has attempted to summarize the main points regarding the Spanish educational system.、In addition, it has been found that some products were difficult to find.",it can be concluded、it has been found、it is suggested、it was reported,,,"被动语态,形式主语,it,that从句,总结评价",
GG-C1-034,"Guideword: FORM/USE: 'GET' + OBJECT + '-ED'. CanDo: Can use 'get' + object + '-ed' to talk about causing or instructing something to happen or to be done by somebody else, often informally.",SuperCategory: PASSIVES. SubCategory: get and have,C1,非正式使役结构：get + 宾语 + -ed分词,I must say that Caroline and I are good together because I think I am a little bit lazy but she is always the one who tries to get things done .、[talking about a minibus] … ours broke down and it took hours to get it repaired .、But within the last two months we received several complaints from our customers about not getting their orders delivered in time.,get done、get repaired、get delivered、get fixed,,,"使役结构,非正式表达,get + 宾语 + -ed,安排他人完成,过去分词",
GG-C1-035,Guideword: FORM/USE: 'GET' + OBJECT + '-ING'. CanDo: Can use 'get' + object + '-ing' to talk about causing someone or something to do something.,SuperCategory: PASSIVES. SubCategory: get and have,C1,使役结构：get + 宾语 + -ing 形式,"First of all, I would like to underline the sheer boredom of these CDs, which got me yawning from the very first minute.、I was very happy when I received your letter, although I must say that your dilemma got me thinking.、As soon as they realized there was no way to get the employees moving, they got excited and nervous.、But still both concerts were great as Elton John and ""Metallica"" really know how to get people moving, but in two completely different ways.",get thinking、get moving、get yawning,,,"使役结构,get + 宾语 + -ing,促使动作,间接引发,现在分词",
GG-C1-036,"Guideword: FORM: NOUN PHRASE WITH POSSESSIVE 'S WITHOUT NOUN. CanDo: Can form complex noun phrases with noun phrase + 'of' + noun phrase + possessive determiner ''s', omitting the noun where it is previously mentioned.",SuperCategory: NOUNS. SubCategory: noun phrases,C1,名词短语：省略名词的所有格's结构,"Our after-sales team now is perceived as faster, more qualified, friendlier and more efficient than our competitors’.、You cannot have peace and quiet in your own home, as your hour of peacefulness might considerably differ from your neighbours’.、I think it would be better to include a student's view of the college, not only a teacher's.",than、compared to、of、possessive 's,,,"名词短语,所有格's,省略名词,比较结构,避免重复",
GG-C1-037,"Guideword: USE: NOMINALISATION, FORMALITY. CanDo: Can use nominalised forms in academic or business contexts, to make something more formal.",SuperCategory: NOUNS. SubCategory: noun phrases,C1,名词化结构在正式语境中的应用：学术与商务写作,"As indicated by the charts, the output in state-owned industry increased by 12% in 2000.、With reference to foreign-invested industry, it recorded fluctuations in industrial output increases throughout three years.、It stood at 14% in 2002, then dropped by 2% in 2001. 2002 brought a significant growth in the output and recorded 19%.、We could say that things have been altered by the advances of science and culture in general, like the rest of the world.",with reference to、as indicated by、it is recorded、increase in、analysis of,,,"名词化,正式语境,学术写作,商务报告,介词搭配",
GG-C1-038,"Guideword: FORM/USE: 'WH-' CLEFT, FOCUS. CanDo: Can form complex noun phrases with 'wh-' cleft clauses, followed by 'be', to give focus.",SuperCategory: NOUNS. SubCategory: noun phrases,C1,名词短语：'wh-' 分裂句结构（强调焦点）,"What everyone loved were the special effects and we were very impressed by the use of advanced technological innovations.、What companies care about is money and football players help them to earn it.、What tourists want is to see the most typical things in England, not a hamburger restaurant.、What students learn are mostly facts and theories.",what、be、focus、cleft clause,,,"wh- 分裂句,强调焦点,名词短语,be 动词一致性,高级语法结构",
GG-C1-039,"Guideword: FORM'-ING' FORMS, ABSTRACT NOUNS. CanDo: Can use the '-ing' form of verbs as abstract nouns.",SuperCategory: NOUNS. SubCategory: types,C1,动词-ing形式作抽象名词：Learning、Teaching、Advertising等用法,Learning English has its rewards too.、Advertising seems to be very important to promote a new product.、Teaching is terribly challenging and demanding.,learning、teaching、advertising、enjoy learning,,,"动名词,抽象名词,-ing形式,活动概念,主语宾语",
GG-C1-040,"Guideword: FORM: UNCOUNTABLE NOUNS. CanDo: Can use a wide range of uncountable nouns, particularly referring to abstract concepts.",SuperCategory: NOUNS. SubCategory: uncountable,C1,不可数名词：抽象概念的高级用法,"I appreciate that your company is concerned about safety and has installed safety belts in every coach but they do not help much when they are all broken.、Above all, the administration is not very efficient.、He will go with another two members in his department who are likely to be the core workforce and who are eager to broaden their vision.、Through that we can develop more humanity, solidarity, tolerance and respect among people of different countries.",safety、efficiency、humanity、solidarity、tolerance、respect、vision、workforce,,,"不可数名词,抽象概念,量词修饰,单数谓语,固定搭配",
GG-C1-041,"Guideword: FORM/USE: 'WHATSOEVER', EMPHASIS. CanDo: Can use 'whatsoever' after a negative form for emphasis.",SuperCategory: NEGATION. SubCategory: negation,C1,否定强调词：whatsoever的用法,"This means that nothing shall change for the employees, there shall be no implication whatsoever for their rights stipulated in their employment contracts.、Organising the entertainment would be rather fun, whilst waiting tables would be boring and we have no experience whatsoever.",no whatsoever、nothing whatsoever、none whatsoever、not whatsoever,,,"whatsoever,否定强调,正式英语,绝对否定,副词",
GG-C1-042,"Guideword: FORM/USE: 'NOT ONLY … (BUT) ALSO' WITH INVERSION. CanDo: Can use auxiliary 'do' + inverted subject after 'not only', to give focus.",SuperCategory: NEGATION. SubCategory: negation,C1,倒装结构：Not only ... (but) also 的强调用法,"Not only was it in a wonderful location, with extraordinary views, but it was also very accessible and the shops were really near.、Not only do they have the biggest turnover overall, they also managed to increase it constantly from 2000 to 2002.",not only、but also、also,,,"倒装,强调结构,并列信息,正式语体,焦点增强",
GG-C1-043,"Guideword: FORM/USE: 'NOT' + STANCE ADVERB, HEDGING. CanDo: Can use 'not' + stance adverb, often  in a mid position, to soften the directness of a statement.",SuperCategory: NEGATION. SubCategory: negation,C1,否定词not与立场副词的搭配：缓和语气表达,"This is not necessarily the way the older generation would see it, though.、Being a passionate student of the English language, you do not necessarily need a teacher to guide you through the meanders of English.、I'm not sure what exactly they would expect us to do at the campsite, but organising the entertainment is not really my thing.、Personally, I do not actually think that this relationship will change.",not necessarily、not really、not actually、not exactly,,,"否定,立场副词,语气缓和,委婉表达,not necessarily",
GG-C1-044,"Guideword: FORM: 'NONE', SUBSTITUTION. CanDo: Can use negative pronoun 'none' to substitute for subject and object pronouns or noun phrases. ► pronouns: substitution",SuperCategory: NEGATION. SubCategory: negation,C1,否定代词 'none' 的替代用法：主语与宾语替换,"In fact, there are none, but the hills that do exist can be dubbed mountains - just because there are none...、Concerning your question about any special requirements of some students - I am glad that I am able to tell you that there are none this year.、Problems when using English? None.",there are none、none of、have none,,,"否定代词,替代用法,主语替换,宾语替换,none of",
GG-C1-045,"Guideword: FORM: 'NOT ALL', 'NOT EVERY'. CanDo: Can use 'not with indefinite pronouns 'everyone' and 'everything' and determiners 'every', 'all'.",SuperCategory: NEGATION. SubCategory: negation,C1,部分否定表达：'not all'与'not every'的用法,"Not everyone likes sports or music.、Not everything was as good as we expected.、Not all students, though, can attend the centre as it is not always open, and their lessons finish at 5 pm, the closing time of the centre.、Not all of us have got the fighting spirit to visit the gym regularly, but many of us would like to have a healthy look.、Not every cyclist is a danger to the public as most of them obey all rules and respect other road users.",not all、not every、not everyone、not everything,,,"部分否定,不定代词,限定词,not all,not every",
GG-C1-046,"Guideword: USE: FORMAL. CanDo: Can use '(very) few' meaning 'not many' to refer to people in formal written contexts, often reports or surveys.",SuperCategory: NEGATION. SubCategory: negation,C1,正式书面语中的否定表达：用'(very) few'表示'not many'指人,"They were sent to Britain to improve their English but few had any real contact with the language.、English is the most spoken language nowadays and although most of the people can speak a bit of English, very few speak it in the right way.、The Greeks have always been a tortured folk; everyone tried to conquer them, but few managed.",few、very few、few people、very few individuals,,,"few,very few,not many,正式书面语,指代人",
GG-C1-047,"Guideword: FORM/USE: MODIFYING ADJECTIVES, EMPHASIS. CanDo: Can modify adjectives with adverbs, often for emphasis.",SuperCategory: MODALITY. SubCategory: adjectives,C1,副词修饰形容词：强调表达,It is painfully obvious that it will rescue our city from the pollution and fumes that cars are producing.、[talking about stolen goods] It is highly unlikely that the goods can vanish from your warehouse without that being noticed.,highly unlikely、painfully obvious、extremely important、surprisingly easy,,,"副词修饰形容词,强调表达,程度副词,方式副词,固定搭配",
GG-C1-048,"Guideword: FORM/USE: MODIFYING ADJECTIVES, HEDGING. CanDo: Can modify adjectives with degree adverbs, often to make an assertion less direct.",SuperCategory: MODALITY. SubCategory: adjectives,C1,程度副词修饰形容词：缓和语气表达,"If you want to come earlier or if there's a public transport strike (which is quite probable), you will have to take a taxi.、It is almost certain that we'll have fights in the future but we will probably overcome them.",quite probable、almost certain、highly likely、fairly accurate,,,"程度副词,形容词修饰,缓和语气,概率表达,正式语境",
GG-C1-049,Guideword: FORM: WITH ADVERBS. CanDo: Can use a wide range of adverbs with 'can' in the normal mid position after the modal verb). ► adverbs,SuperCategory: MODALITY. SubCategory: can,C1,情态动词can与副词搭配：副词在can后的中间位置,"Only those who live with their relatives can fully understand how essential is the role of your parents, sisters, aunts...、Miss Sylvia Ann Powers is a good friend of mine for over six years, so I can honestly say that I know her personality fairly well.",can fully、can honestly、can easily、can clearly,,,"情态动词can,副词中间位置,程度副词,方式副词,can fully understand",
GG-C1-050,"Guideword: USE: EMPHASIS. CanDo: Can use expressions with 'can' or 'can’t' to give focus or add emphasis, such as 'as you can see', 'I can't say', 'I can tell you that', 'as you can imagine', 'I can say that', 'I can assure you that'.",SuperCategory: MODALITY. SubCategory: can,C1,"情态动词can的强调用法：as you can see, I can tell you that等表达","So, as you can see, there are no serious consequences for us, so far.、I can't say I was very impressed with the level and the way the classes were given.、About my country, I can tell you that we went through a great number of wars in the last century…",as you can see、i can tell you that、i can't say、as you can imagine,,,"情态动词,强调用法,固定搭配,插入语,语气增强",
GG-C1-051,"Guideword: FORM: PASSIVE. CanDo: Can use 'can' in passive reporting clauses in a more formal impersonal style (e.g. for reports and academic contexts), such as 'It can be said that', 'It can be argued (that)', 'It can be concluded that', 'It can be considered'.► passives",SuperCategory: MODALITY. SubCategory: can,C1,被动报告从句中的can：正式文体中的客观表达,"It can be argued, looking at the figures, that the company should consider withdrawing from the heater market.、Taking everything into account, it can be concluded that the current training course is very useful for our company.、As for marriage and relationships, it can be said that women who have a job, nowadays, do not quit it after marriage.",it can be argued、it can be said、it can be concluded、it can be considered,,,"被动语态,报告从句,正式文体,客观表达,It can be argued that",
GG-C1-052,"Guideword: FORM/USE: PAST NEGATIVE, DEDUCTIONS. CanDo: Can use 'can't' or 'cannot have' + '-ed' to make deductions.",SuperCategory: MODALITY. SubCategory: can,C1,情态动词can的过去否定推测用法：can't/cannot have + 过去分词,I live with my partner and we can't have used so much electricity.、…it cannot have been such a disappointment.、The air-conditioning cannot have been working properly as the coach was too cold.,can't have、cannot have、can't have been、cannot have been,,,"情态动词,否定推测,过去事件,逻辑推断,cannot have + 过去分词",
